"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
307870,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Graphical editors] Moving the name of a node","2017-09-08 09:49:22"
307873,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General diagrams] Pop-up menu limited","2017-09-08 10:00:07"
307874,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Model Explorer] Quick link to diagrams","2017-09-08 09:57:14"
309647,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General] It should be possible to provides predefined perspective configuration","2017-09-08 09:57:37"
311717,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Core] New services should be in their own packages","2017-05-11 04:02:00"
311774,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General] EObjectInheritanceCopyCommand is  duplicated.","2017-09-08 09:52:48"
313886,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Usability] No warning during model opening, if imported models can not be found","2017-09-08 09:44:00"
314890,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Wizard] Papyrus wizard shall allow to choose several diagram categories","2017-09-08 09:47:02"
315300,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Core] Papyrus shall improved its Public API for managing model set.","2017-09-18 10:42:59"
316549,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[all diagrams]  add the possibility to restore connections automatically when drag and drop","2017-09-08 09:47:20"
317420,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[All Diagrams] Not possible to change the font and size of the text in the comment element","2017-09-08 09:56:02"
318606,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ClassDiagram][Properties View] No simple way to add parameters or comments to an operation","2017-09-08 09:45:48"
319956,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Palettes] Problem when adding applied stereotype in an aspect action","2017-08-03 05:18:34"
320892,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Wizard] Usability improvement for Model / Project creation wizards","2017-09-08 09:43:48"
320914,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Palettes][UMLTypes][CommonDiagram] Improve homogeneity in element creation dialog","2017-09-08 09:43:37"
320997,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[All Diagrams][All links] Diagram becomes inconsistent when we retarget a link which is many times on the diagram","2017-09-08 09:45:47"
321339,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[All Diagrams] Problem with renaming a project when a diagram is open","2017-09-08 09:57:36"
321731,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[DiaGen] Replace relative paths in *.gmfgen with platform:/plugin uris","2017-09-08 09:49:04"
324090,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Usability] Pulldown Toolbar should be able to execute the last action","2017-09-08 09:52:13"
324307,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[CompositeDiagram] DnD of a delegation connector from model explorer is visually wrong placed if it connects an inherited port","2017-08-02 11:39:31"
324953,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Abstract User Interface Editor] Papyrus shall provide an editor of Abstract User Interface.","2017-09-08 09:51:18"
325014,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[UMLTypes] Add IElementType specialization for each kind of Pseudostate elements","2017-03-07 11:37:04"
328002,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[TextEditors] XText integration shall use Element Edit Service for setting Attribute and References","2017-09-08 09:46:27"
328224,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Properties View] Using Edit Service To Edit the properties of Element","2017-09-08 09:55:34"
328506,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ElementTypes] EditHelper getDestroyDependentCommand ignored when a specific IClientContext is required","2017-08-07 11:29:47"
328557,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ElementTypes] Provide move command support in ElementTypes EditHelpers","2017-03-07 11:39:21"
328810,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ClassDiagram] add a xtext parser to edit template binding","2017-09-08 09:59:01"
329798,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General] Cannot define different editors for the same EObject using an additional filter","2017-09-08 09:49:42"
329865,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ALF] Papyrus shall provide a specific textual editor for ALF.","2017-09-12 10:21:47"
331566,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[All diagrams] Compartment variables shall be translateable in property files.","2017-09-08 09:46:56"
334813,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","PB content assist for a tag typed by a TupleType","2017-09-12 10:21:50"
335951,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Diagram templates]  Loading a non UML file template","2017-09-08 09:58:34"
336732,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General] Provide a ""create a new diagram project"" tutorial","2017-09-08 11:41:52"
338389,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[UMLTypes] Add constraints on element creation","2019-02-01 08:40:24"
340862,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[TextEditors] Problems with popup direct edit dialog","2017-09-12 10:21:15"
341218,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[reverse] Papyrus shall Allow reverse of Eclipse Plugin Dependencies into UML model","2017-09-11 03:27:27"
347008,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General] AbstractCommandHandler should be in org.eclipse.core","2017-09-08 09:53:34"
348542,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[All Diagrams] Re-target a comment or constraint link does not remove inconsistent occurrence","2017-09-08 09:47:43"
348653,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Model Explorer] Some ""move"" in the model explorer should be forbidden","2017-09-08 09:53:39"
348736,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[Usability] bad location for cmd ""Select elements with same type""","2018-06-01 09:11:23"
348859,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[General]When creating a diagram, suggest the same name as the container","2016-10-24 03:54:11"
350589,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ModelEditor] TabContent preview should be parameterizable from Preferences","2017-09-08 11:41:58"
351180,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","Extremely timely parsing of parenthesized expressions","2017-09-12 10:21:37"
351615,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[drag and drop] Drag and drop from model to diagram should consider child elements.","2017-09-08 09:47:53"
351674,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[CompositeDiagram] Can't show the label of a Port after hiding it","2017-08-31 10:03:59"
351701,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ClassDiagram] Default Preferences are not correctly set","2017-09-08 09:43:24"
351795,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ElementTypes][UMLTypes] getCommandResult returns null","2017-09-08 09:59:10"
351866,"Papyrus","Core","mdt-papyrus-inbox","NEW"," ---","[ActivityDiagram]Add an option to create diagram with CallBehaviorAction","2013-07-12 06:38:10"
